id,eixo,objetivo,foco_estrategico,acao,responsavel,prazo_categoria,prazo_qualificador,data_limite,indicador,meta,recursos,status,percentual_execucao,data_atualizacao,evidencia,observacoes,campus
AGU-37,Águas e Efluentes,,,Prover a construção de laboratórios para realização das análises da qualidade dos efluentes e viabilizar que os períodos descritos sejam atendidos (Vide Quadro 3 do Apêndice III.9),PROPA com apoio dos Centros de Formação interessados,Médio a Longo,,,100% das instalações concluídas e operantes,,,Não iniciada,0,,,PDF p.64,Todos
AGU-38,Águas e Efluentes,,,"Quando possível, adotar sistema de armazenamento e aproveitamento de água de chuva para fins não potáveis conforme",DINFRA,Curto a Médio,,,Sistemas de armazenamento e aproveitamento de água instalados,,,Não iniciada,0,,,PDF p.64,Todos
AGU-39,Águas e Efluentes,,,"Quando possível, dar preferência a captação de água de poços artesianos, atender regulamentação vigente",DINFRA,Curto a Médio,,,"Poços artesianos instalados nos Campi, quando possível",,,Não iniciada,0,,,PDF p.65,Todos
AGU-40,Águas e Efluentes,,,"Incentivar a priorização do uso de água de chuva e de poços artesianos, quando adequado",DINFRA,Curto a Médio,,,Diretrizes para uso prioritário de fontes alternativas de água publicadas,,,Não iniciada,0,,,PDF p.65,Todos
AGU-41,Águas e Efluentes,,,Realizar manutenções periódicas de todos os sistemas de abastecimento de água. As medidas devem garantir a qualidade de água (potável ou não) e minimizar quaisquer tipos de perdas,"Coordenação de Manutenção (DINFRA), Coord. de Apoio Administrativo dos Campi",Curtíssimo,periódico,,100% dos sistemas de abastecimento de água com registros de manutenções periódicas,,,Não iniciada,0,,,PDF p.65,Todos
AGU-42,Águas e Efluentes,,,"Desenvolver estudo sobre a demanda de água para irrigação das áreas verdes e, com isso, reduzir o consumo de água para o estritamente necessário","DINFRA, Coord. de Apoio Administrativo dos Campi, Unidades Acadêmicas",Curtíssimo,,,Relatórios publicados,,,Não iniciada,0,,,PDF p.65,Todos
AGU-43,Águas e Efluentes,,,Mapear às espécies que compõe o paisagismo da instituição,"Unidades Acadêmicas, Jardim Botânico FLORAS, DINFRA",Curto,,,Relatórios publicados,,,Não iniciada,0,,,PDF p.65,Todos
AGU-44,Águas e Efluentes,,,Dimensionar o volume de água das irrigações e periodicidade de acordo a necessidade das espécies,"Unidades Acadêmicas, Jardim Botânico FLORAS, DINFRA",Curto,,,Relatórios publicados,,,Não iniciada,0,,,PDF p.65,Todos
AGU-45,Águas e Efluentes,,,Dar preferência ao uso de águas provenientes de sistema de reaproveitamentos de água (águas pluviais e de reuso),"DINFRA, Coord. de Apoio Administrativo dos Campi",Curto a Médio,,,Relatórios sobre o uso de água provenientes de fontes alternativas,,,Não iniciada,0,,,PDF p.66,Todos
AGU-46,Águas e Efluentes,,,"Criação de poços ou caixa de armazenagem de água próprias para irrigação, provenientes de água de chuva, juntamente com um sistema de irrigação",DINFRA,Curto a Médio,,,Sistemas instalados e operantes,,,Não iniciada,0,,,PDF p.66,Todos
